Question,Answer
What is the role of mutation in Genetic Algorithms?,Mutation introduces small random changes to offspring solutions to ensure genetic diversity and help explore new areas of the solution space.
What are the primary benefits of Client-Server Architecture?,"The primary benefits include centralized management of resources, better security, and scalability, as servers handle requests from multiple clients."
What types of tests are best suited for automation?,"Automated testing is best for regression tests, performance tests, and repetitive functional tests."
What is the best-case time complexity for searching an element in an unsorted array?,"The best-case time complexity is O(1), which occurs when the element is found at the first position."
What is the key difference between an activity diagram and a state machine diagram in UML?,"An activity diagram focuses on the flow of control in a system, while a state machine diagram represents the different states an object can be in and the transitions between them."
What is reinforcement learning?,Reinforcement learning is a type of machine learning where an agent learns to make decisions by receiving rewards or penalties based on its actions.
What role does 'Extract Method' play in making code easier to test?,"'Extract Method' makes code easier to test by isolating specific functionality into smaller, more focused methods that are easier to test independently."
What is the relationship between idempotency and safe HTTP methods?,"Safe HTTP methods, like GET, are idempotent because they don't modify server state and can be safely repeated without any side effects."
What is the difference between ethical hacking and black hat hacking?,"Ethical hacking is done with authorization to improve system security, while black hat hacking involves illegal activities to exploit vulnerabilities for personal gain."
What role does database indexing play in optimizing query performance?,"Database indexing improves query performance by allowing the database to quickly locate and access the rows that match a query, reducing search time."
What is the role of Kubernetes in scaling applications?,Kubernetes automatically manages the scaling of applications by adjusting the number of Pods based on resource utilization and demand.
How would you delete a word from a trie?,"To delete a word from a trie, you traverse the trie, reach the end of the word, and remove the node corresponding to the last character, checking for any unused nodes to delete recursively."
What is Client-Server Architecture?,"Client-Server Architecture is a model where client devices request services or resources from a centralized server, which processes the request and returns the response."
What is the effect of unclear documentation on a project?,"Unclear documentation can lead to misunderstandings, increased errors, and delays as developers struggle to understand the system."
What is the main difference between SIMD and MIMD architectures?,"SIMD processes multiple data points simultaneously with a single instruction, while MIMD processes multiple instructions on multiple data points at the same time."
What is the worst-case time complexity for searching an element in a sorted array using binary search?,"The worst-case time complexity for binary search in a sorted array is O(log n), because we halve the search space with each comparison."
How does elasticity contribute to high availability?,"Elasticity automatically adjusts resources to handle fluctuating demand, ensuring continuous operation without downtime."
How does synchronous communication impact system performance?,"Synchronous communication can slow down system performance because each service must wait for a response before continuing its process, leading to potential bottlenecks and increased latency."
How does inheritance work in Object-Oriented Programming?,"Inheritance allows one class to inherit properties and behaviors (methods) from another class, enabling code reuse and creating hierarchical relationships."
What are some common causes of technical debt?,"Common causes of technical debt include tight deadlines, lack of resources, poor coding practices, and the use of outdated technologies."
What is JIRA primarily used for in software development?,"JIRA is primarily used as a project management and issue tracking tool that helps teams track bugs, manage tasks, and monitor progress in software development."
What is an error budget in Site Reliability Engineering?,"An error budget is the allowable threshold of failure in a given time period, calculated based on the SLO. It helps balance reliability with the pace of feature development."
How does refactoring improve team collaboration?,"Refactoring improves team collaboration by ensuring that the codebase is easier to understand, reducing the friction between developers working on the same code."
What is the purpose of an activity diagram in UML?,An activity diagram is used to model the dynamic aspects of a system by illustrating the flow of control and activities in a process.
How does using version control for documentation help in maintaining it?,Version control allows teams to track changes to the documentation over time and revert to previous versions if needed.
What does the 'Rename Variable' technique help avoid?,'Rename Variable' helps avoid confusion by making the code more readable and variables more self-explanatory.
What is a common use case for edge computing in smart cities?,"Edge computing is used in smart cities to process traffic and sensor data locally, enabling real-time responses and efficient resource management."
What is an example of a refactoring technique?,"An example of a refactoring technique is 'Extract Method,' where a piece of code is moved into a new method to improve readability and reusability."
What is the role of the heap in memory management?,"The heap is a region of memory used for dynamic memory allocation, where objects are allocated and deallocated during runtime."
Can a system that uses eventual consistency ever guarantee immediate consistency?,"No, a system using eventual consistency cannot guarantee immediate consistency. Data may be temporarily inconsistent across nodes, but it will converge to a consistent state over time."
What is the primary use case of PyTorch in production environments?,"PyTorch is used for real-time inference in production environments, thanks to its dynamic computation graphs and ease of integration with cloud services."
What is the difference between an abstract class and an interface in Java?,"An abstract class can have both abstract and concrete methods, while an interface only defines abstract methods. A class can implement multiple interfaces, but only extend one abstract class."
What is the most common method of API versioning?,"URL versioning is the most common method, where the version is included as part of the URL path (e.g., /api/v1)."
How does AI-based code refactoring help in improving software quality?,"AI-based code refactoring analyzes code for patterns of inefficiency, suggesting improvements that make the codebase more readable and maintainable."
What does the `async`/`await` syntax do in JavaScript?,"`async` and `await` are used to handle asynchronous operations in a more synchronous-looking fashion, making asynchronous code easier to read and maintain."
What is the primary purpose of a version control system?,"A version control system helps track changes to files, enabling multiple users to collaborate and manage different versions of code over time."
What is a Fenwick Tree (Binary Indexed Tree) used for?,A Fenwick Tree is used to efficiently calculate prefix sums and update elements in an array.
What is a 'state file' in Terraform?,"The state file in Terraform stores information about the infrastructure resources Terraform manages, including their current state and metadata."
What is a common feature in refactoring tools?,"Refactoring tools typically offer automated code restructuring options like renaming variables, extracting methods, and removing duplicates."
What is the time complexity of searching for an element in an unsorted array?,"The time complexity of searching for an element in an unsorted array is O(n), as you need to check each element until you find the target."
Which of the following metrics is essential for analyzing load test results?,"Throughput is a key metric in load testing, measuring the amount of data processed by the system over a given period."
Which graph traversal technique guarantees the shortest path in an unweighted graph?,BFS guarantees the shortest path in an unweighted graph by exploring all nodes level by level.
Explain the concept of polymorphism in object-oriented programming.,"Polymorphism is when you can store different types of objects in a list, and then access them by a common interface or parent class."
What is loop unrolling in optimization?,"Loop unrolling is a technique where a loop is expanded to reduce the overhead of the loop control, improving execution time by decreasing the number of iterations."
What is an API Gateway pattern in microservices architecture?,"The API Gateway pattern involves having a single entry point for all requests to backend microservices, which then routes the requests to the appropriate services."
How does the scalability of edge device management differ from traditional device management?,Edge device management is more scalable because it can handle large numbers of geographically distributed devices without relying on a centralized system.
When should you refactor code after debugging?,Refactor code after debugging when the structure has been altered or when a pattern emerges that could benefit from simplification.
What is a race condition and how can it be avoided?,"A race condition occurs when threads access shared resources simultaneously, leading to unpredictable results. It can be avoided by using synchronization mechanisms like locks or semaphores."
What is the main advantage of using a thread pool?,"The main advantage of using a thread pool is that it reduces the overhead of thread creation and destruction, improving performance by reusing threads for multiple tasks."
What does availability mean in the context of the CAP theorem?,"Availability means that the system always responds to requests, even if some of the data is out-of-date or inconsistent."
What does the `git merge` command do?,"`git merge` combines changes from two branches into a single branch, integrating the code from both branches into the current one."
What is the primary goal of Test-Driven Development (TDD)?,The primary goal of TDD is to write tests before the code to ensure that the software meets the required specifications from the start.
How does eventual consistency work in Event-Driven systems?,"Eventual consistency ensures that all parts of the system reach a consistent state eventually, even in distributed environments."
What is the purpose of automated testing in a CI/CD pipeline?,Automated testing ensures that the code is functional and reliable by running predefined test cases whenever new code is integrated into the system.
What are the phases of the Software Development Life Cycle (SDLC)?,"The SDLC phases include requirements gathering, system design, implementation, testing, deployment, and maintenance."
What is the primary goal of Site Reliability Engineering (SRE)?,"The primary goal of SRE is to ensure that a service is reliable, scalable, and efficient by using software engineering approaches to IT operations and automating manual processes."
What is a Kubernetes Pod?,"A Pod is the smallest deployable unit in Kubernetes, which can contain one or more containers that share the same network namespace and storage volumes."
What is the Observer design pattern?,"The Observer pattern allows an object to notify other objects about changes in its state, making it easier to manage updates across multiple components."
What are the main benefits of using a public blockchain like Ethereum?,"Public blockchains like Ethereum offer transparency, decentralization, and censorship resistance, which provide a higher level of security and trust."
What is Dynamic Programming used for?,"Dynamic Programming is used to solve problems by breaking them into smaller subproblems and solving each subproblem only once, saving the results for later use."
When should you update the README file in a project?,"You should update the README file whenever there are significant changes to the project, like new features, bug fixes, or changes in setup procedures."
What is the significance of HTTP status code 401 in a REST API response?,HTTP status code 401 indicates that the request requires authentication and the provided credentials are invalid or missing.
What is a qubit and how does it differ from a classical bit?,"A qubit is the fundamental unit of quantum information that can exist in a superposition of states, whereas a classical bit can only be 0 or 1 at any given time."
How does documentation reduce the risk of technical debt?,"Documentation ensures that design decisions and coding patterns are clearly understood, making it easier to maintain and update code over time."
What is the primary purpose of load testing in software engineering?,"The primary purpose of load testing is to evaluate how a system performs under a specific expected load, typically to ensure it can handle normal and peak traffic conditions."
Why is encryption important in IoT security?,"Encryption ensures that the data sent between IoT devices is secure and unreadable to unauthorized users, preventing eavesdropping and tampering."
"What is HDFS, and how does it work in distributed data storage?",HDFS (Hadoop Distributed File System) is a distributed file system designed to store large amounts of data across multiple machines with fault tolerance and scalability.
How does denormalization impact query performance?,"Denormalization improves query performance by reducing the number of joins required, but it can increase the complexity of data updates."
What is the Command design pattern?,"The Command pattern encapsulates a request as an object, thereby allowing users to parameterize clients with queues, requests, and operations."
What is the difference between device configuration and device management in edge computing?,"Device configuration refers to setting up parameters and software on the devices, while device management includes ongoing monitoring, maintenance, and updates."
What are the main components of Event-Driven Architecture?,"The main components are events, event producers, event channels, event listeners, and event consumers."
How does horizontal scaling improve fault tolerance?,"Horizontal scaling improves fault tolerance by distributing the load across multiple servers. If one server fails, the system can continue to operate using the other servers."
What is a common use case for Memcached?,"Memcached is commonly used for session caching, query result caching, and as a general-purpose distributed memory cache for web applications."
How does Kong handle request routing and traffic management?,"Kong routes requests to services based on configuration and handles load balancing, rate limiting, and logging."
What is Elasticsearch in the ELK stack?,"Elasticsearch is a search and analytics engine used to index, store, and query log data at scale."
What are Pods in Kubernetes?,A Pod in Kubernetes is the smallest and simplest Kubernetes object that represents a single instance of a running process in a cluster. It can contain one or more containers.
What is a 'view model' in the context of software architecture?,"A ViewModel is a component in the Model-View-ViewModel (MVVM) design pattern that provides data and commands to the view, serving as an intermediary between the model and the view."
What is the main purpose of Chef in configuration management?,"Chef is an automation tool that manages infrastructure as code, using recipes and cookbooks to automate deployment and configuration across servers."
What is the difference between MongoDB and HBase in terms of storage models?,"MongoDB uses a document-based storage model, while HBase uses a column-family-based storage model."
What is the Strategy design pattern?,"The Strategy pattern defines a family of algorithms, encapsulates each one, and makes them interchangeable. It allows the algorithm to vary independently from the client that uses it."
What is Fog Computing in the context of IoT?,"Fog computing is a decentralized computing infrastructure that brings computational power and data storage closer to the edge of the network, enabling faster data processing for IoT devices."
What is Quantum-enhanced feature space?,"Quantum-enhanced feature space refers to the ability of quantum computers to map data into a higher-dimensional space, enabling better separation of data and improved accuracy in machine learning tasks."
What are the main security concerns with using a public cloud deployment model?,"Public clouds share infrastructure with multiple clients, which can expose data to security risks if not properly managed."
What is the main purpose of code generation in a compiler?,The main purpose of code generation in a compiler is to translate intermediate code or abstract syntax trees (AST) into machine code or assembly code that can be executed by a computer.
What is the best strategy when deciding between manual and automated testing for a project?,The best strategy is to automate repetitive tests and use manual testing for tasks that require human judgment or exploratory testing.
What is the difference between Agile and Waterfall methodologies?,"Agile is iterative and allows for flexibility and changes during development, while Waterfall is a linear process where each phase must be completed before moving to the next."
What is the goal of increasing test coverage?,"The goal of increasing test coverage is to ensure that more code paths are tested, which reduces the risk of undetected defects and improves software reliability."
"How can interviews, surveys, and prototypes complement each other in requirements elicitation?","Interviews provide qualitative insights, surveys gather quantitative data, and prototypes help refine user requirements through visual interaction."
How does model evaluation impact software fault prediction?,"Model evaluation helps to measure the accuracy and reliability of the predictions, ensuring that the model can generalize well to new data."
What is a lock in Java's `ReentrantLock`?,A `ReentrantLock` in Java is a type of lock that allows the thread holding the lock to enter the lock again without causing a deadlock.
What is feature extraction?,"Feature extraction involves transforming raw data into features that can be used by machine learning algorithms, often reducing the dimensionality of the dataset."
What is the difference between synchronous and asynchronous programming?,"Synchronous programming waits for a function to complete before moving to the next one, while asynchronous programming allows functions to run in parallel or in the background."
What is normalization in database design?,Normalization is the process of organizing data in a database to reduce redundancy and dependency by dividing large tables into smaller ones and defining relationships between them.
How does Event-Driven Architecture improve system responsiveness?,Event-Driven Architecture improves system responsiveness by enabling the system to react immediately to events without waiting for other processes.
How does OAuth 2.0 differ from OAuth 1.0?,"OAuth 2.0 is an improved version that introduces support for token-based authorization, simplifying access control, while OAuth 1.0 required signing each request using a secret key."
What is a blue-green deployment strategy?,"A blue-green deployment involves running two identical production environments, one active (blue) and one idle (green), to ensure minimal downtime when deploying updates."
How do edge nodes handle data streams in real-time?,"Edge nodes process incoming data streams locally, performing real-time analytics and filtering before sending the results to the cloud or other systems."
What is the primary advantage of using RSA over ECC?,"RSA is widely used and supported, offering strong security with large key sizes, making it suitable for a variety of applications."
What is the role of a distributed system in multi-core processing?,"A distributed system coordinates multiple machines to work together on a task, often involving multiple cores across different nodes."
What triggers the need to refactor code?,"A need to refactor arises when the code becomes difficult to understand, and the cost of making changes increases over time."
What is the purpose of the `.gitignore` file?,"The `.gitignore` file tells Git which files or directories to exclude from version control, ensuring that unnecessary files do not get tracked."
Why is it important to analyze the execution plan of a query?,"Analyzing the execution plan helps identify bottlenecks and inefficiencies in the query, allowing you to optimize indexing and query structure."
What is Service Discovery in Microservices Architecture?,"Service discovery allows microservices to find and communicate with each other dynamically, typically using a registry like Eureka or Consul."
Can you give an example of encapsulation in a real-world scenario?,Encapsulation is like a library where books are stored and users can borrow them without seeing the internal catalog system or the storage method.
What is the relationship between a suffix array and the Burrows-Wheeler transform?,"A suffix array is a key component of the Burrows-Wheeler transform, as it helps in sorting suffixes and facilitating compression algorithms."
What are the characteristics of functional requirements?,"Functional requirements specify the actions the system must perform, such as user interactions, calculations, or data processing."
What is a key challenge in software fault prediction using machine learning?,A key challenge is the quality and availability of labeled data for training the models.
What is the main disadvantage of the Round-Robin scheduling algorithm in real-time systems?,Round-Robin may not be efficient for real-time systems because it doesn't prioritize urgent tasks or tasks with tight deadlines.
What is the difference between `git pull` and `git fetch`?,"`git pull` fetches changes from the remote repository and automatically merges them with your local branch, while `git fetch` only downloads the changes without merging."
Which of the following is true about Dijkstraâ€™s algorithm?,Dijkstraâ€™s algorithm always produces the optimal solution for finding the shortest path in a graph with non-negative weights.
What happens when the circuit breaker is in the 'closed' state?,"When the circuit breaker is in the 'closed' state, requests are allowed to pass through, and the system is fully operational as long as there are no failures."
How does TDD contribute to better software design?,"TDD encourages small, incremental changes, which leads to more modular and maintainable code with fewer defects over time."
What is the role of code complexity in test quality?,"Higher code complexity can increase the difficulty of writing tests, but it can also lead to more potential defects, which makes comprehensive testing more critical."
What is the principle of 'single responsibility' in OOP?,"The single responsibility principle means that a class should have only one reason to change, i.e., it should only have one job or responsibility."
What is the role of a service layer in an enterprise application architecture?,"The service layer abstracts business logic and provides a boundary between the presentation layer and data access layer, ensuring separation of concerns."
What is the role of a partition key in data partitioning?,"A partition key is used to determine how data is distributed across partitions, ensuring even distribution and balanced workload."
How do you delete a record from a table in SQL?,You use the DELETE FROM statement to remove records from a table based on a specified condition.
How do GitHub Actions contribute to a CI/CD pipeline?,"GitHub Actions provides CI/CD automation directly within GitHub, allowing you to automate workflows like building, testing, and deploying code from within the repository."
"What is Sensitive Data Exposure, and how can it be prevented?","Sensitive data exposure occurs when private information, such as credit card details or personal health records, is not properly encrypted or secured."
What is the difference between model-free and model-based Reinforcement Learning?,"Model-free RL methods learn directly from interactions with the environment, while model-based RL builds a model of the environment to plan and make decisions for optimal performance."
What is the difference between Waterfall and Agile methodologies?,"Waterfall is a linear, step-by-step approach, while Agile focuses on iterative cycles and continuous feedback, allowing for more flexibility and adaptability during development."
What is the purpose of artificial intelligence (AI) in games?,"AI in games is used to control non-playable characters (NPCs), making their behavior more realistic and dynamic, based on the game environment."
What is the best-case time complexity for searching an element in an unsorted array?,"The best-case time complexity is O(1), which occurs when the element is found at the first position."
What is the difference between the Waterfall model and the Agile model in SDLC?,"The Waterfall model is sequential, where each phase must be completed before moving to the next. The Agile model is iterative and allows for changes throughout the process."
What is an SLO (Service Level Objective)?,"An SLO is a target level of reliability for a service, typically defined as a percentage of uptime or successful responses over a defined time period."
What is the time complexity of accessing an element in an array?,"The time complexity of accessing an element in an array is O(1), as elements can be accessed directly using their index."
What is a key feature of windowing in stream processing?,Windowing allows processing over a specific subset of data within a time frame or event count.
When should you use a Proxy pattern in cloud-native applications?,"You should use the Proxy pattern when you need to control, monitor, or secure traffic between services, especially in a service mesh."
How does shared memory handle synchronization between processes?,"Shared memory uses synchronization primitives like locks, semaphores, and mutexes to ensure that multiple processes do not access the same memory location concurrently."
What is an example of a 1:N relationship in a database?,"An example of a 1:N relationship is a customer and their orders, where each customer can have multiple orders, but each order is linked to only one customer."
What is the key benefit of the Earliest Deadline First (EDF) scheduling algorithm?,"EDF assigns priorities to tasks based on their deadlines, with tasks having the earliest deadline given the highest priority."
How does the cooling schedule work in Simulated Annealing?,"The cooling schedule in Simulated Annealing gradually reduces the temperature, which controls how much worse solutions are allowed to be accepted as the algorithm progresses."
What is a key benefit of using sharding in blockchain scalability?,"Sharding increases scalability by allowing each shard to handle a subset of transactions independently, thus enabling parallel processing and reducing overall transaction time."
What role does the reward function play in Reinforcement Learning for optimizing software?,"The reward function provides feedback to the agent by assigning numerical rewards to actions, helping it learn to choose the actions that optimize software performance."
What is OpenCL and how is it related to CUDA?,"OpenCL (Open Computing Language) is an open-source framework for parallel computing, similar to CUDA but designed to work across a variety of hardware, including both NVIDIA and AMD GPUs, as well as CPUs."
What is the role of Consul in ensuring service health in a microservices architecture?,"Consul regularly checks the health of services registered in its registry, ensuring only healthy services are discoverable by other services."
What is a Layer-2 solution in blockchain?,A Layer-2 solution is a protocol built on top of a blockchain that enhances its scalability by processing transactions off-chain while maintaining the security of the main chain.
Which component in distributed tracing is responsible for identifying a trace across services?,A trace ID is used to uniquely identify a request as it passes through various services in a distributed system.
What role does clarity play in maintaining documentation?,"Clarity ensures that documentation is easy to understand, helping both current and future developers use and maintain the codebase effectively."
What are the key principles of Agile methodology?,"The key principles of Agile include iterative development, customer collaboration, responding to change, and delivering functional software frequently."
How does Kafka handle scalability in distributed systems?,"Kafka handles scalability by partitioning topics across multiple brokers, allowing for parallel processing and high throughput."
What is the main challenge in IoT security?,"The main challenge in IoT security is ensuring that the numerous connected devices remain secure from unauthorized access, especially given their limited resources and computational power."
What is the purpose of using prepared statements in secure coding?,"Prepared statements ensure that SQL queries are executed with parameters, protecting against SQL injection by separating user input from the query logic."
What is the purpose of a requirements specification document in SDLC?,"The requirements specification document outlines the functional and non-functional requirements of the system, ensuring that the development team understands what the client needs."
What is one common format used for presenting the RTM?,"A common format for presenting the RTM is a table, where requirements are listed in rows, and test cases are listed in columns."
What is AWS CloudFormation used for?,AWS CloudFormation is a service that provides IaC functionality for provisioning and managing AWS infrastructure using templates in JSON or YAML format.
What is the purpose of a physics engine in game development?,"A physics engine simulates realistic physical interactions between objects, such as gravity, friction, and collision, to enhance the realism of gameplay."
What is an activation function in neural networks?,"An activation function introduces non-linearity to the model, allowing it to learn complex patterns in the data."
What are some advantages of Monolithic Architecture?,"Monolithic Architecture is simpler to develop and deploy as all components are tightly coupled, and there's no need for complex communication between services."
What is the purpose of a primary key in a database?,"A primary key uniquely identifies each record in a table, ensuring there are no duplicates and maintaining data integrity."
Why is device authentication crucial in edge device management?,"Device authentication ensures that only authorized devices can connect to the network, preventing unauthorized access and potential security risks."
What is the Singleton design pattern?,The Singleton design pattern ensures that a class has only one instance and provides a global point of access to it.
What is Event-Driven Architecture (EDA)?,Event-Driven Architecture is a software design paradigm where the flow of the program is determined by events such as user inputs or system-generated signals.
What type of data is typically used for predictive maintenance?,"Predictive maintenance typically uses historical data, real-time sensor data, and environmental data from IoT devices to detect patterns and predict failures."
What is a thread pool in multithreading?,"A thread pool is a collection of pre-instantiated, reusable threads that are used to execute tasks concurrently, improving performance by reusing existing threads instead of creating new ones for each task."
What is the primary advantage of real-time data processing systems like Apache Flink?,"They allow data to be processed as it arrives, providing low latency and timely insights."
What is the relationship between MTBF and failure rate?,"MTBF is the inverse of failure rate; the higher the MTBF, the lower the failure rate, indicating a more reliable system."
What is Cyclomatic Complexity and why is it important?,"Cyclomatic Complexity is a software metric that measures the complexity of a program by counting the number of linearly independent paths. It is important because higher values indicate more complex code, which may be harder to maintain and test."
Why is it important to write documentation for non-technical users?,"Documentation for non-technical users ensures that all stakeholders, including non-developers, can understand and contribute to the project."
How is data distributed in HBase?,"In HBase, data is distributed across region servers based on the row key, and regions can be split and distributed across multiple region servers."
What is quorum in the context of fault-tolerant systems?,A quorum is the minimum number of nodes required to reach consensus and make decisions in a fault-tolerant distributed system.
What is Event Sourcing?,"Event sourcing is a pattern where state changes are stored as a sequence of immutable events, instead of storing just the current state of the entity."
How does MongoDB ensure data consistency in a replica set?,MongoDB ensures data consistency in a replica set by using a primary node for write operations and replicating changes to secondary nodes asynchronously.
What is the difference between a two-tier and a three-tier client-server architecture?,"In a two-tier architecture, the client communicates directly with the server, while in a three-tier architecture, an additional layer, such as an application server, is added to separate business logic from data storage."
What is the key difference between eventual consistency and strong consistency?,"Eventual consistency allows data to be inconsistent for a period of time but guarantees that it will eventually become consistent, while strong consistency ensures that all nodes have the same data at any point in time."
How do functional and non-functional requirements relate to system testing?,"Functional requirements are tested through functionality checks, while non-functional requirements are tested through performance, load, and security testing."
How does a monolithic architecture differ from microservices architecture?,"Monolithic architecture consists of a single, tightly coupled codebase, while microservices break down the application into smaller, independent services that can be deployed and scaled individually."
What is a fallback mechanism in a circuit breaker pattern?,A fallback mechanism provides a default response or an alternative method when the circuit breaker is open and the original service cannot be reached.
What is the main difference between Redis and Memcached?,"The main difference is that Redis supports a wide range of data types (e.g., strings, lists, hashes), while Memcached only supports strings as key-value pairs."
What is Sphinx commonly used for in Python development?,"Sphinx is a documentation generator used for creating HTML, PDF, and LaTeX documentation from reStructuredText files."
What is the difference between OAuth 1.0 and OAuth 2.0?,"OAuth 2.0 is simpler and more flexible than OAuth 1.0, which uses signed requests. OAuth 2.0 allows token-based authentication with multiple grant types."
What is ANTLR and what role does it play in compiler design?,"ANTLR (Another Tool for Language Recognition) is a parser generator that is used to build compilers, interpreters, and other language tools by converting grammar rules into executable code."
What is Differential Privacy?,Differential Privacy is a privacy-preserving technique that ensures the privacy of individual data points in a dataset by adding noise to the results of data analysis.
Why is it important to keep documentation up to date?,"Keeping documentation up to date ensures that it accurately reflects the current state of the code and assists in debugging, onboarding, and knowledge transfer."
Why is a README file important in a project?,"A README file provides essential information about a project, such as its purpose, installation instructions, and usage examples."
What role does superposition play in Quantum Machine Learning?,"Superposition allows quantum systems to be in multiple states simultaneously, enabling quantum machine learning algorithms to process and explore multiple possibilities in parallel, increasing efficiency."
What is the role of software updates in securing IoT devices?,"Software updates are essential to fix known vulnerabilities, ensuring that IoT devices remain secure against evolving threats."
What are the main types of intermediate representations?,The main types of intermediate representations are high-level IR (which is close to the source code) and low-level IR (which is closer to machine code).
How does multi-region deployment affect latency in a global application?,"Multi-region deployment can reduce latency by serving user requests from the region closest to them, improving response times."
What is the difference between a for loop and a while loop in programming?,"A for loop is typically used when the number of iterations is known beforehand, whereas a while loop is used when the number of iterations is not known."
What is Service-Oriented Architecture (SOA)?,SOA is an architectural style that allows different services to communicate over a network to fulfill business processes. These services are loosely coupled and can be independently developed and deployed.
What is denormalization in database design?,"Denormalization is the process of combining tables and reducing the level of normalization to improve query performance, though it can increase redundancy."
What is the main goal of Differential Privacy?,"The main goal of Differential Privacy is to ensure that an individual's data cannot be identified or inferred from the results of an analysis, even if an attacker has access to the dataset."
What is a major disadvantage of vertical scaling?,"A major disadvantage of vertical scaling is that it has physical limits, as there is a maximum amount of resources a single machine can handle."
What is the role of requirements specification in software engineering?,"Requirements specification involves documenting the functional and non-functional requirements in a clear, concise manner to guide system development."
How do you create a foreign key in SQL?,You create a foreign key by using the `FOREIGN KEY` constraint in the table definition and referencing the primary key of another table.
How does Raft handle log consistency across distributed nodes?,"Raft ensures log consistency by replicating log entries from the leader to the follower nodes, ensuring that all logs are identical across nodes."
What tools are commonly used for refactoring?,"Some popular refactoring tools include JetBrains ReSharper and Eclipse's refactoring tools, which help automate and simplify the process."
What role does database management play in Monolithic Architecture?,"In monolithic systems, the database is typically shared by all components, and its management is centralized to ensure data consistency and integrity across the application."
What is the difference between functional and non-functional requirements?,"Functional requirements describe what the system should do, while non-functional requirements describe how the system should perform (e.g., performance, security)."
What happens when you try to insert an element that is already in a Bloom Filter?,"When you insert an element that is already in the Bloom Filter, the corresponding bits remain unchanged."
What is the primary reason for denormalizing a database?,"The primary reason for denormalization is to improve performance, particularly in read-heavy environments where speed is a critical factor."
What is a skip list?,"A skip list is a probabilistic data structure that allows for fast search, insertion, and deletion operations by maintaining multiple levels of linked lists."
What is a key feature of Object-Oriented Programming?,"A key feature of OOP is encapsulation, which hides the internal state and requires all interaction to be done through methods or properties."
What is the significance of a composite key in database design?,"A composite key is used when a single column is not sufficient to uniquely identify a record, and multiple columns are combined to form a unique identifier."
What is the role of a QA team in Agile?,"In Agile, the QA team works closely with developers and product owners to ensure quality is embedded throughout the development process, including sprint planning, development, and testing."
What is the purpose of a Kubernetes Deployment?,"A Deployment provides declarative updates to Pods and ReplicaSets, ensuring that the desired number of Pods are running at any given time."
What is a hash table?,"A hash table is a data structure that stores key-value pairs and allows for efficient lookup, insertion, and deletion operations using a hash function."
What is the role of the operating system in managing multithreading?,"The operating system manages thread scheduling, resource allocation, and ensures that threads do not conflict with each other while sharing resources."
What is the main benefit of using Apache Kafka in a Big Data ecosystem?,"The main benefit of Kafka is its ability to provide a fault-tolerant, high-throughput messaging system that allows for real-time data ingestion and processing."
How does automated testing improve the speed of the testing process?,"Automated tests can be run multiple times in a short period, providing rapid feedback and helping teams identify issues faster."
What is vertical partitioning?,"Vertical partitioning involves splitting a table into columns, where frequently accessed columns are stored in one partition and less frequently accessed ones in another."
How do event-driven systems handle failures in microservices?,"Event-driven systems rely on message queues to store events, ensuring that services can process events even if one service is temporarily unavailable."
What is the time complexity of inserting an element into a balanced binary search tree (BST)?,"The time complexity of inserting an element into a balanced BST is O(log n) because the tree is balanced, and you only need to traverse from the root to a leaf node."
What is the significance of parallel test execution in CI/CD pipelines?,"Parallel test execution allows multiple tests to run simultaneously, drastically reducing the time required to run the entire test suite."
What is the concept of Quantum-resistant algorithms?,"Quantum-resistant algorithms are cryptographic techniques that are designed to be secure against attacks from quantum computers, which could break traditional encryption methods."
What happens during the 'Design' phase in the Waterfall model?,"During the Design phase, the system architecture and design are planned out, and detailed specifications are created to guide the development phase."
How does partitioning improve query performance in a database?,"Partitioning improves query performance by reducing the amount of data scanned during query execution, as only relevant partitions are queried."
What is the difference between preemptive and non-preemptive job scheduling?,"In preemptive scheduling, tasks can be interrupted and swapped out, while in non-preemptive scheduling, tasks run to completion once started."
What is a secure hash function and why is it used in password storage?,"A secure hash function converts data into a fixed-size hash that is nearly impossible to reverse, making it ideal for storing passwords securely without revealing the original data."
What is a Monad in functional programming?,"A Monad is a design pattern that represents computations as a series of steps, enabling chaining of operations and managing side effects, such as state or IO, in a pure functional context."
What is the Decorator pattern used for?,"The Decorator pattern is used to add new behavior to an object dynamically, without altering its structure or the other objects of the same class."
What is continuous delivery (CD) and how does it relate to automated testing?,"Continuous delivery is the practice of automatically deploying every change to a production-like environment after successful automated testing, ensuring that the software is always in a deployable state."
